timestamp_backend,timestamp_reasoner,timestamp_iot,jarakObjek,jarakOrang,reasoningTime,endToEndTime,backendTime,valveStatus,washingStatus
2025-12-05:15-04-53,2025-12-05:15-04-53,2025-12-05:15-04-51,63.767,33.235,81,192,10,st_actOFF,st_washNO
2025-12-05:15-04-55,2025-12-05:15-04-54,2025-12-05:15-04-52,60.52,33.235,84,185,4,st_actOFF,st_washNO
2025-12-05:15-04-57,2025-12-05:15-04-57,2025-12-05:15-04-55,40.001,33.235,99,191,8,st_actOFF,st_washNO
2025-12-05:15-04-59,2025-12-05:15-04-58,2025-12-05:15-04-56,60.792,33.235,86,202,11,st_actOFF,st_washNO
2025-12-05:15-05-01,2025-12-05:15-05-00,2025-12-05:15-04-58,58.973,33.235,85,202,14,st_actOFF,st_washNO
2025-12-05:15-05-03,2025-12-05:15-05-02,2025-12-05:15-05-00,37.485,33.235,89,192,7,st_actOFF,st_washNO
2025-12-05:15-05-05,2025-12-05:15-05-04,2025-12-05:15-05-02,31.994,8.517,87,187,13,st_actOFF,st_washNO
2025-12-05:15-05-07,2025-12-05:15-05-06,2025-12-05:15-05-05,32.776,33.235,87,186,12,st_actOFF,st_washNO
2025-12-05:15-05-09,2025-12-05:15-05-08,2025-12-05:15-05-06,15.81,33.235,82,185,12,st_actOFF,st_washNO
2025-12-05:15-05-11,2025-12-05:15-05-11,2025-12-05:15-05-09,16.133,4.624,84,192,9,st_actOFF,st_washNO
2025-12-05:15-05-13,2025-12-05:15-05-12,2025-12-05:15-05-10,15.81,33.235,83,200,4,st_actOFF,st_washNO
2025-12-05:15-05-15,2025-12-05:15-05-15,2025-12-05:15-05-14,36.584,33.252,87,184,4,st_actOFF,st_washNO
2025-12-05:15-05-17,2025-12-05:15-05-16,2025-12-05:15-05-15,59.704,33.235,80,204,7,st_actOFF,st_washNO
2025-12-05:15-05-19,2025-12-05:15-05-18,2025-12-05:15-05-17,37.281,33.252,78,182,8,st_actOFF,st_washNO
2025-12-05:15-05-21,2025-12-05:15-05-18,2025-12-05:15-05-17,37.281,33.252,78,182,7,st_actOFF,st_washNO
2025-12-05:15-05-23,2025-12-05:15-05-23,2025-12-05:15-05-21,62.679,33.235,85,180,11,st_actOFF,st_washNO
2025-12-05:15-05-25,2025-12-05:15-05-24,2025-12-05:15-05-23,60.928,33.235,86,184,10,st_actOFF,st_washNO
2025-12-05:15-05-27,2025-12-05:15-05-24,2025-12-05:15-05-23,60.928,33.235,86,184,6,st_actOFF,st_washNO
2025-12-05:15-05-29,2025-12-05:15-05-28,2025-12-05:15-05-27,37.791,33.252,82,292,4,st_actOFF,st_washNO
2025-12-05:15-05-31,2025-12-05:15-05-28,2025-12-05:15-05-27,37.791,33.252,82,292,10,st_actOFF,st_washNO
2025-12-05:15-05-33,2025-12-05:15-05-33,2025-12-05:15-05-31,33.286,33.235,88,3053,11,st_actOFF,st_washNO
2025-12-05:15-05-35,2025-12-05:15-05-33,2025-12-05:15-05-31,33.286,33.235,88,3053,7,st_actOFF,st_washNO
2025-12-05:15-05-37,2025-12-05:15-05-37,2025-12-05:15-05-36,29.648,33.235,79,287,11,st_actOFF,st_washNO
2025-12-05:15-05-39,2025-12-05:15-05-39,2025-12-05:15-05-37,32.504,33.235,88,187,5,st_actOFF,st_washNO
2025-12-05:15-05-41,2025-12-05:15-05-40,2025-12-05:15-05-39,30.685,33.235,87,192,12,st_actOFF,st_washNO
2025-12-05:15-05-43,2025-12-05:15-05-43,2025-12-05:15-05-42,32.232,33.235,89,192,9,st_actOFF,st_washNO
